,abs_err,consumption_mwh,predicted
2025-10-29 08:00:00,11330.676470588242,27904.84,41115.08760869567
2025-10-29 07:00:00,6195.842153846184,26252.76,41497.837115384624
2025-10-29 06:00:00,3850.350000000002,26878.87,41623.70639999998
2025-10-29 00:00:00,2517.915238095229,29904.56,39945.098
2025-10-28 08:00:00,2480.7357142857145,37026.29,40210.68818181818
2025-10-29 04:00:00,2161.614166666659,27550.68,40739.450326086946
2025-10-28 23:00:00,2138.005384615386,32725.99,41142.585641025646
2025-10-29 02:00:00,2102.306000000004,28407.45,41680.57675
2025-10-22 13:00:00,2023.265999999996,40738.26,41930.19633333333
2025-10-24 14:00:00,1993.004166666702,42206.52,42718.455
